depth,start
1,287484
1,287497
1,NA
1,287529
1,287546
1,NA
1,287931
1,287941
1,NA
1,288307
1,288319
1,NA
1,288446
1,288697
1,NA
1,289060
1,289079
1,NA
1,289244
1,289268
1,NA
1,289376
1,289499
1,NA
1,292504
1,292692
1,NA
1,293107
1,293128
1,NA
1,293334
1,293347
1,NA
1,293574
1,293737
1,NA
1,294050
1,294056
1,NA
1,294650
1,295418
1,NA
1,295965
1,295988
1,NA
1,296114
1,296138
1,NA
1,297718
1,297755
1,NA
1,297824
1,297846
1,NA
1,298228
1,298265
1,NA
1,298385
1,298397
1,NA
1,298471
1,298502
1,NA
1,299955
1,299990
1,NA
1,301973
1,301990
1,NA
1,302011
1,302032
1,NA
1,303110
1,303276
1,NA
1,303447
1,303484
1,NA
1,304548
1,304601
1,NA
1,305390
1,305435
1,NA
1,306393
1,306467
1,NA
1,306971
1,307270
1,NA
1,308809
1,308969
1,NA
1,309333
1,309462
1,NA
1,309874
1,309912
1,NA
1,311058
1,311189
1,NA
1,311580
1,311606
1,NA
1,312173
1,312318
1,NA
1,313108
1,313139
1,NA
1,313446
1,313842
1,NA
1,315360
1,315886
1,NA
1,316573
1,316584
1,NA
1,316932
1,316982
1,NA
1,317565
1,317600
1,NA
1,317927
1,317957
1,NA
1,319306
1,319332
1,NA
1,319624
1,319656
1,NA
1,320241
1,320290
1,NA
1,321754
1,321795
1,NA
1,323019
1,323058
1,NA
1,323351
1,323365
1,NA
1,324746
1,324772
1,NA
1,325520
1,325537
1,NA
1,326079
1,326105
1,NA
1,326234
1,326251
1,NA
1,326397
1,326423
1,NA
1,326952
1,327028
1,NA
1,327862
1,327869
1,NA
1,329928
1,330476
1,NA
1,330551
1,330558
1,NA
1,331333
1,331347
1,NA
1,331410
1,331494
1,NA
1,333524
1,333531
1,NA
2,337388
2,337432
2,NA
2,338540
2,338592
2,NA
2,339437
2,339446
2,NA
2,339729
2,339736
2,NA
2,340099
2,340108
2,NA
2,342098
2,342181
2,NA
2,343108
2,343152
2,NA
2,343792
2,343840
2,NA
2,344058
2,344065
2,NA
2,344953
2,344975
2,NA
2,345870
2,346236
2,NA
2,347411
2,347434
2,NA
2,347526
2,347569
2,NA
2,348016
2,348140
2,NA
2,348221
2,348239
2,NA
2,348464
2,348562
2,NA
2,348612
2,349101
2,NA
2,349451
2,349477
2,NA
2,351008
2,351025
2,NA
2,352623
2,352687
2,NA
2,352982
2,353734
2,NA
2,354749
2,355649
2,NA
3,358199
3,358450
3,NA
3,359430
3,359579
3,NA
3,359717
3,359726
3,NA
3,361593
3,361608
3,NA
3,361675
3,361699
3,NA
3,361862
3,361871
3,NA
3,364111
3,364145
3,NA
3,364910
3,364988
3,NA
3,365216
3,365231
3,NA
3,365573
3,365604
3,NA
3,366137
3,366168
3,NA
3,366864
3,366969
3,NA
3,368391
3,368492
3,NA
3,370634
3,370772
3,NA
3,372052
3,372148
3,NA
3,372640
3,373374
3,NA
3,374259
3,374497
3,NA
3,376375
3,376676
3,NA
3,378856
3,378898
3,NA
3,379122
3,379817
3,NA
3,380126
3,380221
3,NA
3,381033
3,381049
3,NA
3,382375
3,382386
3,NA
3,383706
3,383720
3,NA
3,384050
3,384112
3,NA
3,386041
3,386058
3,NA
3,386150
3,386169
3,NA
3,390126
3,390150
3,NA
3,391197
3,391352
3,NA
3,391584
3,391770
3,NA
4,394224
4,394231
4,NA
3,394110
3,397499
3,NA
3,398757
3,398806
3,NA
3,399122
3,399184
3,NA
3,399686
3,399702
3,NA
3,400590
3,400612
3,NA
3,401014
3,401020
3,NA
3,401688
3,401695
3,NA
3,402930
3,402990
3,NA
3,403917
3,403950
3,NA
3,404775
3,405413
3,NA
3,410893
3,410899
3,NA
3,412420
3,412433
3,NA
2,355880
2,412538
2,NA
1,334038
1,412539
1,NA
2,414566
2,414674
2,NA
1,414302
1,414841
1,NA
1,415284
1,415312
1,NA
1,415403
1,415769
1,NA
1,417000
1,417021
1,NA
1,419326
1,419739
1,NA
1,422432
1,422484
1,NA
1,422875
1,422935
1,NA
1,422961
1,422983
1,NA
1,423071
1,423099
1,NA
1,423430
1,423490
1,NA
1,423624
1,423857
1,NA
1,425344
1,425368
1,NA
1,425859
1,425957
1,NA
1,426354
1,426545
1,NA
1,426886
1,427070
1,NA
1,427812
1,428052
1,NA
1,428188
1,428635
1,NA
1,429291
1,429345
1,NA
1,431553
1,431563
1,NA
1,431731
1,431952
1,NA
1,432138
1,432372
1,NA
1,432803
1,432965
1,NA
1,433152
1,433254
1,NA
1,433501
1,433621
1,NA
1,434294
1,434570
1,NA
1,435575
1,435589
1,NA
1,435690
1,435713
1,NA
2,438132
2,438143
2,NA
1,437994
1,438518
1,NA
1,442231
1,442278
1,NA
1,444279
1,444286
1,NA
1,445277
1,445318
1,NA
2,446735
2,446742
2,NA
2,446978
2,446992
2,NA
1,446057
1,447726
1,NA
1,449468
1,449475
1,NA
1,449921
1,449940
1,NA
1,451568
1,451593
1,NA
1,454444
1,454457
1,NA
1,454947
1,454960
1,NA
1,455409
1,455465
1,NA
1,456430
1,457547
1,NA
1,459270
1,459373
1,NA
1,459814
1,459931
1,NA
1,461513
1,461631
1,NA
1,462873
1,463232
1,NA
1,463871
1,463942
1,NA
1,464094
1,464493
1,NA
1,464619
1,466012
1,NA
1,466484
1,466514
1,NA
1,466613
1,466661
1,NA
1,467029
1,467200
1,NA
1,467232
1,467304
1,NA
1,468063
1,468079
1,NA
1,468373
1,468399
1,NA
1,469180
1,469336
1,NA
2,470202
2,470257
2,NA
1,470051
1,470398
1,NA
1,471034
1,471052
1,NA
1,473051
1,473091
1,NA
2,474429
2,474440
2,NA
1,473869
1,474710
1,NA
1,476002
1,476144
1,NA
1,476640
1,476890
1,NA
1,478997
1,479332
1,NA
1,479542
1,479558
1,NA
1,480217
1,480284
1,NA
1,480700
1,481261
1,NA
1,481328
1,481704
1,NA
1,482492
1,482498
1,NA
1,484724
1,484834
1,NA
1,485183
1,485317
1,NA
1,485414
1,485447
1,NA
1,486389
1,486403
1,NA
1,486938
1,487011
1,NA
1,487470
1,487479
1,NA
1,487700
1,487708
1,NA
1,488299
1,488743
1,NA
1,488769
1,488966
1,NA
1,490591
1,490602
1,NA
1,494537
1,494587
1,NA
1,494713
1,494719
1,NA
1,494973
1,494985
1,NA
1,498060
1,498069
1,NA
1,498198
1,498206
1,NA
1,500069
1,500134
1,NA
1,501418
1,501437
1,NA
1,502351
1,502389
1,NA
1,503322
1,503358
1,NA
1,506643
1,506659
1,NA
1,508693
1,508717
1,NA
1,509988
1,510039
1,NA
1,510186
1,510293
1,NA
1,510463
1,510575
1,NA
1,510898
1,511059
1,NA
1,511488
1,511659
1,NA
1,513204
1,513358
1,NA
1,513573
1,513579
1,NA
1,513978
1,513984
1,NA
1,514221
1,514289
1,NA
1,514623
1,514644
1,NA
1,515523
1,515636
1,NA
1,515908
1,515934
1,NA
1,516139
1,516152
1,NA
1,516856
1,516969
1,NA
1,517819
1,517835
1,NA
1,521048
1,521127
1,NA
1,521789
1,521795
1,NA
1,524101
1,524119
1,NA
1,524722
1,524738
1,NA
1,526430
1,526563
1,NA
1,526834
1,526845
1,NA
1,526996
1,527003
1,NA
1,527274
1,527285
1,NA
2,528496
2,528536
2,NA
2,529330
2,529340
2,NA
2,530518
2,530540
2,NA
2,531415
2,531478
2,NA
2,532670
2,532732
2,NA
2,533582
2,533652
2,NA
1,528228
1,533852
1,NA
1,533924
1,533933
1,NA
1,534538
1,534557
1,NA
1,534656
1,534677
1,NA
1,534932
1,534958
1,NA
1,536065
1,536069
1,NA
1,536387
1,536411
1,NA
1,536672
1,536709
1,NA
1,536902
1,536916
1,NA
1,536996
1,537010
1,NA
1,537463
1,537474
1,NA
1,537846
1,537888
